old_name,new_name
352AL1_J_magni_1.fastq,3064_R1.fastq
352AL1_J_magni_2.fastq,3064_R2.fastq
353AL1_J_perak_1.fastq,3066_R1.fastq
353AL1_J_perak_2.fastq,3066_R2.fastq
354AL1_L_batoe_1.fastq,3068_R1.fastq
354AL1_L_batoe_2.fastq,3068_R2.fastq
355AL1_L_haina_1.fastq,3070_R1.fastq
355AL1_L_haina_2.fastq,3070_R2.fastq
356AL1_L_verru_1.fastq,3072_R1.fastq
356AL1_L_verru_2.fastq,3072_R2.fastq
357AL1_L_acuti_1.fastq,3074_R1.fastq
357AL1_L_acuti_2.fastq,3074_R2.fastq
358AL1_L_adsce_1.fastq,3076_R1.fastq
358AL1_L_adsce_2.fastq,3076_R2.fastq
